date,new_users,active_users,sessions,avg_session_duration
2025-09-20,395,1219,1733,5.4
2025-09-21,426,1128,2019,7.5
2025-09-22,418,1335,2182,6.7
2025-09-23,413,1301,2103,5.4
2025-09-24,403,1282,1685,4.5
2025-09-25,403,1249,2232,5.5
2025-09-26,435,1166,1954,7.4
2025-09-27,408,1240,2144,8.2
2025-09-28,439,1137,1848,5.0
2025-09-29,433,1124,1551,5.9
2025-09-30,413,1301,1965,5.7
2025-10-01,419,1367,2406,9.4
2025-10-02,408,1237,2024,5.5
2025-10-03,437,1155,2069,8.4
2025-10-04,434,1160,1590,5.4
2025-10-05,449,1150,1601,9.1
2025-10-06,428,1444,2401,7.3
2025-10-07,418,1347,2065,7.3
2025-10-08,447,1279,2133,8.2
2025-10-09,442,1332,2125,9.5
2025-10-10,439,1507,2119,4.6
2025-10-11,419,1063,1658,7.8
2025-10-12,433,1322,2324,5.2
2025-10-13,429,1107,1498,5.9
2025-10-14,453,1299,2203,8.7
2025-10-15,448,1309,1924,6.9
2025-10-16,435,1265,2163,6.7
2025-10-17,447,1351,1794,8.4
2025-10-18,431,1084,1718,7.7
2025-10-19,454,1394,1952,7.9
2025-10-20,454,1181,1730,5.0
2025-10-21,433,1165,1904,7.1
2025-10-22,452,1188,1612,7.1
2025-10-23,473,1478,2249,9.3
2025-10-24,441,1226,2182,7.1
2025-10-25,447,1458,2288,7.1
2025-10-26,461,1191,1918,6.1
2025-10-27,465,1174,1626,8.8
2025-10-28,474,1609,2840,5.3
2025-10-29,465,1425,1910,5.4
2025-10-30,459,1486,2075,9.3
2025-10-31,459,1471,2529,8.4
2025-11-01,826,2750,4367,4.6
2025-11-02,843,2742,4807,9.4
2025-11-03,845,2602,4582,5.8
2025-11-04,859,2959,5203,6.6
2025-11-05,839,2418,4021,6.1
2025-11-06,863,2863,4704,5.0
2025-11-07,838,2141,3844,7.6
2025-11-08,870,2551,4089,8.0
2025-11-09,860,2834,4233,7.4
2025-11-10,861,2624,3787,6.0
2025-11-11,849,2598,3523,7.2
2025-11-12,841,2129,3825,7.6
2025-11-13,859,2451,3313,7.8
2025-11-14,883,2450,3399,4.7
2025-11-15,853,2290,3203,6.6
2025-11-16,856,2197,3402,6.0
2025-11-17,868,2970,4218,9.2
2025-11-18,885,2674,3964,4.7
2025-11-19,880,2289,3184,8.7
2025-11-20,878,2656,3689,9.5
2025-11-21,876,2570,3656,6.1
2025-11-22,900,2611,4553,5.7
2025-11-23,885,2804,4928,9.0
2025-11-24,868,2204,3945,8.9
2025-11-25,873,2691,4540,9.2
2025-11-26,885,2967,4683,5.8
2025-11-27,899,2444,3335,8.3
2025-11-28,906,2289,3934,8.7
2025-11-29,901,2684,4801,8.6
2025-11-30,903,2261,4025,5.2
2025-12-01,907,2959,4962,6.1
2025-12-02,894,2763,3760,9.2
2025-12-03,886,2867,4338,8.0
2025-12-04,903,3130,4771,8.1
2025-12-05,918,2295,3972,8.9
2025-12-06,906,2385,3109,5.2
2025-12-07,904,2395,3165,6.1
2025-12-08,924,3054,4057,5.3
2025-12-09,899,2926,4371,5.0
2025-12-10,909,3037,4304,7.9
2025-12-11,921,2717,4429,7.8
2025-12-12,905,3072,4660,5.4
2025-12-13,946,2826,4408,8.2
2025-12-14,933,3200,5633,8.5
2025-12-15,918,2602,4676,8.1
2025-12-16,928,3108,4536,5.4
2025-12-17,932,2757,3626,5.3
2025-12-18,920,2924,4231,7.8
2025-12-19,950,3191,5732,8.2
2025-12-20,949,2710,3833,8.8
2025-12-21,932,2504,4265,8.1
2025-12-22,927,2590,4036,8.2
2025-12-23,952,2413,4045,5.2
2025-12-24,931,3058,4161,8.0
2025-12-25,953,2414,3239,4.9
2025-12-26,941,2426,3439,4.5
2025-12-27,956,2512,4313,5.0
2025-12-28,956,2759,3696,8.4
2025-12-29,961,2639,3551,6.8
2025-12-30,944,2758,4211,6.6
2025-12-31,964,3338,4664,6.2
2026-01-01,519,1610,2702,5.6
2026-01-02,554,1764,2583,7.4
2026-01-03,546,1558,2590,7.8
2026-01-04,525,1513,2603,6.6
2026-01-05,542,1758,2493,8.0
2026-01-06,544,1633,2808,9.3
2026-01-07,558,1736,2426,7.8
2026-01-08,528,1711,2592,4.9
2026-01-09,544,1666,2394,9.4
2026-01-10,554,1431,2276,8.6
2026-01-11,569,1644,2139,7.2
2026-01-12,565,1689,2352,5.1
2026-01-13,571,1800,2365,5.8
2026-01-14,550,1557,2384,6.5
2026-01-15,559,1400,2480,8.1
2026-01-16,542,1760,3157,4.9
2026-01-17,570,1621,2391,5.1
2026-01-18,572,1829,2477,6.3
2026-01-19,565,1452,2046,6.4
2026-01-20,541,1501,2326,8.5
2026-01-21,551,1652,2465,8.4
2026-01-22,547,1602,2543,4.5
2026-01-23,554,1492,2469,5.0
2026-01-24,560,1867,3185,9.4
2026-01-25,547,1694,2969,8.5
2026-01-26,549,1752,2281,8.8
2026-01-27,576,1632,2479,6.7
2026-01-28,553,1395,2240,5.0
2026-01-29,570,1965,2927,7.7
2026-01-30,578,1733,3000,7.3
2026-01-31,587,1798,2758,5.6
2026-02-01,569,1891,2945,7.0
2026-02-02,556,1857,2793,6.4
2026-02-03,559,1938,2646,7.6
2026-02-04,579,1783,2487,6.4
2026-02-05,572,1803,2471,8.6
2026-02-06,562,1594,2132,7.4
2026-02-07,569,1757,2643,7.9
2026-02-08,578,1872,2631,7.1
2026-02-09,580,1529,2431,4.5
2026-02-10,595,1867,2459,4.7
2026-02-11,582,1626,2228,5.1
2026-02-12,588,1543,2512,7.8
2026-02-13,607,1878,3179,8.1
2026-02-14,582,1850,3017,7.2
2026-02-15,586,2010,3084,9.1
2026-02-16,597,1698,2860,5.3
2026-02-17,586,1544,2427,8.6
2026-02-18,583,1973,3115,6.2
2026-02-19,599,1725,2415,8.1
2026-02-20,594,1495,2111,8.9
2026-02-21,594,1907,2985,9.2
2026-02-22,606,2050,3286,6.9
2026-02-23,604,1660,2308,4.7
2026-02-24,603,1815,3171,7.8
2026-02-25,597,1574,2511,7.4
2026-02-26,588,1898,2839,5.5
2026-02-27,595,1487,2421,9.0
2026-02-28,624,1956,3057,8.4
2026-03-01,617,2034,3341,7.7
2026-03-02,607,1933,2683,5.6
2026-03-03,605,1857,3199,4.5
2026-03-04,618,2141,2806,7.3
2026-03-05,611,1947,3015,5.5
2026-03-06,606,1548,2657,8.2
2026-03-07,635,1978,2721,9.3
2026-03-08,635,2195,3176,4.9
2026-03-09,598,2083,3341,6.8
2026-03-10,603,1777,2410,7.5
2026-03-11,601,1735,2443,9.5
2026-03-12,636,1849,2466,8.8
2026-03-13,629,1577,2306,5.5
2026-03-14,605,2051,2928,9.2
2026-03-15,616,1585,2438,5.2
2026-03-16,627,1814,2491,8.0
2026-03-17,640,1967,2699,8.7
2026-03-18,627,1590,2566,9.4
2026-03-19,648,1866,3091,7.6
2026-03-20,643,2164,3244,5.9
2026-03-21,621,1853,2950,9.2
2026-03-22,650,1990,2824,7.1
2026-03-23,630,1587,2123,8.8
2026-03-24,616,1954,2728,8.3
2026-03-25,619,1776,2591,5.1
2026-03-26,619,2152,2952,8.7
2026-03-27,625,1979,2890,5.7
2026-03-28,630,1620,2610,4.8
2026-03-29,633,1756,3049,8.2
2026-03-30,640,2182,3758,6.1
2026-03-31,626,1650,2189,7.7
