date,new_sessions,active_users,churn_rate,retention_rate
2025-04-23,402,1081,0.07,0.93
2025-04-24,449,1154,0.07,0.93
2025-04-25,416,1084,0.08,0.92
2025-04-26,444,1523,0.07,0.93
2025-04-27,444,1509,0.08,0.92
2025-04-28,463,1243,0.08,0.92
2025-04-29,418,1058,0.09,0.91
2025-04-30,446,1413,0.07,0.93
2025-05-01,466,1335,0.06,0.94
2025-05-02,421,1322,0.07,0.93
2025-05-03,468,1602,0.07,0.93
2025-05-04,467,1620,0.07,0.93
2025-05-05,476,1382,0.06,0.94
2025-05-06,442,1363,0.08,0.92
2025-05-07,453,1325,0.07,0.93
2025-05-08,456,1565,0.08,0.92
2025-05-09,429,1072,0.08,0.92
2025-05-10,460,1553,0.07,0.93
2025-05-11,486,1667,0.06,0.94
2025-05-12,458,1525,0.06,0.94
2025-05-13,483,1539,0.08,0.92
2025-05-14,448,1120,0.08,0.92
2025-05-15,464,1446,0.08,0.92
2025-05-16,479,1208,0.09,0.91
2025-05-17,476,1304,0.09,0.91
2025-05-18,479,1406,0.06,0.94
2025-05-19,455,1354,0.07,0.93
2025-05-20,491,1399,0.07,0.93
2025-05-21,466,1409,0.07,0.93
2025-05-22,475,1485,0.07,0.93
2025-05-23,492,1512,0.08,0.92
2025-05-24,466,1608,0.07,0.93
2025-05-25,466,1366,0.08,0.92
2025-05-26,490,1596,0.07,0.93
2025-05-27,476,1393,0.09,0.91
2025-05-28,498,1531,0.09,0.91
2025-05-29,507,1335,0.08,0.92
2025-05-30,503,1665,0.07,0.93
2025-05-31,527,1535,0.06,0.94
2025-06-01,486,1460,0.14,0.86
2025-06-02,496,1620,0.16,0.84
2025-06-03,514,1324,0.16,0.84
2025-06-04,535,1431,0.13,0.87
2025-06-05,490,1304,0.17,0.83
2025-06-06,526,1399,0.14,0.86
2025-06-07,513,1433,0.15,0.85
2025-06-08,537,1580,0.14,0.86
2025-06-09,519,1549,0.14,0.86
2025-06-10,540,1380,0.16,0.84
2025-06-11,496,1602,0.14,0.86
2025-06-12,534,1485,0.15,0.85
2025-06-13,514,1331,0.13,0.87
2025-06-14,527,1330,0.16,0.84
2025-06-15,508,1453,0.15,0.85
2025-06-16,536,1373,0.17,0.83
2025-06-17,510,1384,0.15,0.85
2025-06-18,548,1869,0.16,0.84
2025-06-19,540,1700,0.15,0.85
2025-06-20,563,1801,0.17,0.83
2025-06-21,549,1453,0.17,0.83
2025-06-22,538,1578,0.13,0.87
2025-06-23,526,1719,0.15,0.85
2025-06-24,538,1760,0.16,0.84
2025-06-25,557,1542,0.14,0.86
2025-06-26,555,1742,0.16,0.84
2025-06-27,579,1691,0.16,0.84
2025-06-28,575,1889,0.16,0.84
2025-06-29,582,1495,0.17,0.83
2025-06-30,576,1952,0.14,0.86
2025-07-01,532,1558,0.16,0.84
2025-07-02,536,1679,0.14,0.86
2025-07-03,591,1933,0.16,0.84
2025-07-04,561,1859,0.13,0.87
2025-07-05,542,1500,0.14,0.86
2025-07-06,600,2033,0.13,0.87
2025-07-07,549,1704,0.16,0.84
2025-07-08,596,1887,0.14,0.86
2025-07-09,566,1631,0.16,0.84
2025-07-10,554,1653,0.17,0.83
2025-07-11,577,1801,0.14,0.86
2025-07-12,568,1693,0.14,0.86
2025-07-13,588,2040,0.14,0.86
2025-07-14,608,1525,0.15,0.85
2025-07-15,574,1621,0.13,0.87
2025-07-16,578,1873,0.16,0.84
2025-07-17,567,1441,0.17,0.83
2025-07-18,605,1861,0.16,0.84
2025-07-19,619,1590,0.13,0.87
2025-07-20,613,1577,0.13,0.87
2025-07-21,580,1594,0.17,0.83
2025-07-22,616,2142,0.14,0.86
2025-07-23,608,2118,0.14,0.86
2025-07-24,594,1563,0.13,0.87
2025-07-25,608,1893,0.15,0.85
2025-07-26,601,1726,0.14,0.86
2025-07-27,616,1856,0.13,0.87
2025-07-28,622,1904,0.15,0.85
2025-07-29,618,1845,0.13,0.87
2025-07-30,591,1608,0.17,0.83
2025-07-31,629,1946,0.13,0.87
2025-08-01,597,2065,0.15,0.85
2025-08-02,635,1646,0.16,0.84
2025-08-03,630,1976,0.16,0.84
2025-08-04,638,1716,0.15,0.85
2025-08-05,606,1813,0.16,0.84
2025-08-06,616,1644,0.15,0.85
2025-08-07,642,1700,0.16,0.84
2025-08-08,609,2109,0.15,0.85
2025-08-09,628,2194,0.14,0.86
2025-08-10,666,1897,0.15,0.85
2025-08-11,620,1621,0.17,0.83
2025-08-12,629,1605,0.14,0.86
2025-08-13,668,2239,0.17,0.83
2025-08-14,646,1996,0.15,0.85
2025-08-15,647,2025,0.17,0.83
2025-08-16,633,2041,0.16,0.84
2025-08-17,675,1964,0.16,0.84
2025-08-18,648,1678,0.17,0.83
2025-08-19,677,1951,0.16,0.84
2025-08-20,663,1905,0.15,0.85
2025-08-21,681,2096,0.16,0.84
2025-08-22,662,1915,0.16,0.84
2025-08-23,650,1937,0.16,0.84
2025-08-24,660,2111,0.13,0.87
2025-08-25,645,2038,0.13,0.87
2025-08-26,660,2048,0.13,0.87
2025-08-27,698,1765,0.16,0.84
2025-08-28,698,1904,0.14,0.86
2025-08-29,709,2437,0.16,0.84
2025-08-30,687,2236,0.16,0.84
2025-08-31,671,2067,0.13,0.87
2025-09-01,665,1886,0.06,0.94
2025-09-02,673,1690,0.08,0.92
2025-09-03,715,2192,0.07,0.93
2025-09-04,696,2005,0.07,0.93
2025-09-05,723,2279,0.06,0.94
2025-09-06,725,2037,0.07,0.93
2025-09-07,719,1920,0.09,0.91
2025-09-08,693,2158,0.08,0.92
2025-09-09,701,1842,0.07,0.93
2025-09-10,678,1780,0.07,0.93
2025-09-11,687,2150,0.07,0.93
2025-09-12,691,1823,0.07,0.93
2025-09-13,697,1838,0.09,0.91
2025-09-14,693,1884,0.08,0.92
2025-09-15,723,2304,0.07,0.93
2025-09-16,702,1878,0.07,0.93
2025-09-17,735,2372,0.07,0.93
2025-09-18,708,1979,0.07,0.93
2025-09-19,732,2476,0.09,0.91
2025-09-20,732,1869,0.08,0.92
2025-09-21,736,1864,0.06,0.94
2025-09-22,699,2194,0.08,0.92
2025-09-23,723,2122,0.07,0.93
2025-09-24,744,2112,0.09,0.91
2025-09-25,736,2202,0.07,0.93
2025-09-26,706,2107,0.08,0.92
2025-09-27,754,2581,0.07,0.93
2025-09-28,757,2624,0.08,0.92
2025-09-29,714,1813,0.09,0.91
2025-09-30,748,2557,0.07,0.93
2025-10-01,754,2015,0.08,0.92
2025-10-02,761,1989,0.08,0.92
2025-10-03,757,2094,0.06,0.94
2025-10-04,781,1983,0.08,0.92
2025-10-05,733,2239,0.09,0.91
2025-10-06,781,2202,0.06,0.94
2025-10-07,729,2179,0.07,0.93
2025-10-08,751,2537,0.06,0.94
2025-10-09,753,2028,0.08,0.92
2025-10-10,772,2516,0.07,0.93
2025-10-11,767,2235,0.07,0.93
2025-10-12,738,2488,0.07,0.93
2025-10-13,784,2033,0.07,0.93
2025-10-14,762,2266,0.09,0.91
2025-10-15,780,2710,0.08,0.92
2025-10-16,781,2317,0.08,0.92
2025-10-17,781,2471,0.08,0.92
2025-10-18,804,2788,0.08,0.92
2025-10-19,786,2633,0.07,0.93
2025-10-20,766,2427,0.08,0.92
2025-10-21,811,2825,0.07,0.93
2025-10-22,778,1979,0.08,0.92
2025-10-23,813,2796,0.07,0.93
2025-10-24,788,2549,0.07,0.93
2025-10-25,815,2101,0.06,0.94
2025-10-26,808,2675,0.08,0.92
2025-10-27,786,2494,0.06,0.94
2025-10-28,774,2404,0.07,0.93
2025-10-29,801,2433,0.08,0.92
2025-10-30,779,1980,0.07,0.93
2025-10-31,800,2375,0.07,0.93
2025-11-01,1442,4647,0.05,0.95
2025-11-02,1469,4717,0.04,0.96
2025-11-03,1431,4671,0.02,0.98
2025-11-04,1492,5152,0.03,0.97
2025-11-05,1482,4232,0.04,0.96
2025-11-06,1483,3883,0.04,0.96
2025-11-07,1483,5046,0.05,0.95
2025-11-08,1498,4955,0.02,0.98
2025-11-09,1492,4473,0.02,0.98
2025-11-10,1476,4251,0.04,0.96
2025-11-11,1468,5135,0.03,0.97
2025-11-12,1513,4573,0.03,0.97
2025-11-13,1474,4324,0.02,0.98
2025-11-14,1478,4008,0.02,0.98
2025-11-15,1518,4177,0.05,0.95
2025-11-16,1480,3791,0.04,0.96
2025-11-17,1540,4868,0.04,0.96
2025-11-18,1512,3886,0.04,0.96
2025-11-19,1494,4436,0.02,0.98
2025-11-20,1531,4757,0.05,0.95
2025-11-21,1529,3945,0.02,0.98
2025-11-22,1507,4613,0.04,0.96
2025-11-23,1557,4605,0.05,0.95
2025-11-24,1532,4795,0.04,0.96
2025-11-25,1539,5161,0.04,0.96
2025-11-26,1556,4485,0.05,0.95
2025-11-27,1558,3938,0.02,0.98
2025-11-28,1549,4597,0.04,0.96
2025-11-29,1545,4546,0.05,0.95
2025-11-30,1547,5380,0.02,0.98
2025-12-01,1569,4217,0.03,0.97
2025-12-02,1583,5249,0.04,0.96
2025-12-03,1549,5274,0.03,0.97
2025-12-04,1569,4033,0.04,0.96
2025-12-05,1569,4104,0.04,0.96
2025-12-06,1605,4762,0.05,0.95
2025-12-07,1599,4978,0.05,0.95
2025-12-08,1567,5347,0.03,0.97
2025-12-09,1591,5544,0.04,0.96
2025-12-10,1576,4257,0.02,0.98
2025-12-11,1609,5237,0.04,0.96
2025-12-12,1584,4037,0.04,0.96
2025-12-13,1576,5418,0.04,0.96
2025-12-14,1638,5115,0.04,0.96
2025-12-15,1602,5514,0.05,0.95
2025-12-16,1598,4650,0.04,0.96
2025-12-17,1648,4573,0.02,0.98
2025-12-18,1614,4084,0.05,0.95
2025-12-19,1636,4649,0.03,0.97
2025-12-20,1646,5475,0.04,0.96
2025-12-21,1619,5214,0.03,0.97
2025-12-22,1611,5149,0.03,0.97
2025-12-23,1638,4519,0.05,0.95
2025-12-24,1636,5389,0.02,0.98
2025-12-25,1667,4935,0.05,0.95
2025-12-26,1671,4777,0.04,0.96
2025-12-27,1678,5080,0.05,0.95
2025-12-28,1640,5267,0.02,0.98
2025-12-29,1658,4996,0.03,0.97
2025-12-30,1680,4874,0.05,0.95
2025-12-31,1652,5563,0.04,0.96
2026-01-01,945,2775,0.08,0.92
2026-01-02,914,2543,0.08,0.92
2026-01-03,918,3023,0.07,0.93
2026-01-04,962,2916,0.09,0.91
2026-01-05,954,2393,0.08,0.92
2026-01-06,928,2814,0.09,0.91
2026-01-07,946,2715,0.07,0.93
2026-01-08,935,3001,0.06,0.94
2026-01-09,958,2697,0.09,0.91
2026-01-10,972,2658,0.07,0.93
2026-01-11,948,2894,0.09,0.91
2026-01-12,966,2479,0.08,0.92
2026-01-13,957,3110,0.07,0.93
2026-01-14,927,2537,0.07,0.93
2026-01-15,954,3161,0.07,0.93
2026-01-16,970,2758,0.07,0.93
2026-01-17,972,3226,0.08,0.92
2026-01-18,976,3206,0.06,0.94
2026-01-19,977,2996,0.07,0.93
2026-01-20,947,2581,0.06,0.94
2026-01-21,950,2967,0.07,0.93
2026-01-22,954,2644,0.08,0.92
2026-01-23,976,3313,0.07,0.93
2026-01-24,1003,3051,0.06,0.94
2026-01-25,961,2950,0.08,0.92
2026-01-26,984,2522,0.06,0.94
2026-01-27,979,3154,0.07,0.93
2026-01-28,1002,3200,0.07,0.93
2026-01-29,1013,3156,0.07,0.93
2026-01-30,973,2526,0.06,0.94
2026-01-31,960,3355,0.08,0.92
2026-02-01,1007,3064,0.06,0.94
2026-02-02,1008,3232,0.06,0.94
2026-02-03,990,3014,0.08,0.92
2026-02-04,984,3280,0.07,0.93
2026-02-05,989,2688,0.08,0.92
2026-02-06,1015,3166,0.07,0.93
2026-02-07,1000,2973,0.08,0.92
2026-02-08,988,2523,0.09,0.91
2026-02-09,1007,3365,0.09,0.91
2026-02-10,1031,3010,0.08,0.92
2026-02-11,1014,2746,0.09,0.91
2026-02-12,1037,2983,0.07,0.93
2026-02-13,1002,3463,0.07,0.93
2026-02-14,1028,2756,0.09,0.91
2026-02-15,1032,3063,0.07,0.93
2026-02-16,1018,3143,0.07,0.93
2026-02-17,1010,2982,0.07,0.93
2026-02-18,1042,3474,0.08,0.92
2026-02-19,1003,3216,0.07,0.93
2026-02-20,1039,3009,0.07,0.93
2026-02-21,1003,2511,0.07,0.93
2026-02-22,1022,3371,0.09,0.91
2026-02-23,1034,3562,0.09,0.91
2026-02-24,1061,3441,0.08,0.92
2026-02-25,1044,3062,0.06,0.94
2026-02-26,1045,2631,0.08,0.92
2026-02-27,1063,3209,0.07,0.93
2026-02-28,1024,3302,0.08,0.92
2026-03-01,1050,3564,0.07,0.93
2026-03-02,1076,2714,0.07,0.93
2026-03-03,1022,2993,0.08,0.92
2026-03-04,1034,2661,0.07,0.93
2026-03-05,1031,3391,0.09,0.91
2026-03-06,1036,3308,0.06,0.94
2026-03-07,1088,3466,0.08,0.92
2026-03-08,1032,3347,0.07,0.93
2026-03-09,1039,2945,0.07,0.93
2026-03-10,1088,3553,0.08,0.92
2026-03-11,1079,2985,0.08,0.92
2026-03-12,1069,3156,0.08,0.92
2026-03-13,1056,3659,0.08,0.92
2026-03-14,1066,2694,0.06,0.94
2026-03-15,1064,2945,0.08,0.92
2026-03-16,1058,3266,0.07,0.93
2026-03-17,1062,2941,0.07,0.93
2026-03-18,1071,2685,0.07,0.93
2026-03-19,1113,3434,0.07,0.93
2026-03-20,1082,3657,0.09,0.91
2026-03-21,1109,2934,0.09,0.91
2026-03-22,1104,3455,0.09,0.91
2026-03-23,1096,3403,0.06,0.94
2026-03-24,1115,3620,0.07,0.93
2026-03-25,1094,3230,0.07,0.93
2026-03-26,1089,3170,0.06,0.94
2026-03-27,1090,2785,0.06,0.94
2026-03-28,1109,3513,0.09,0.91
2026-03-29,1114,3403,0.09,0.91
2026-03-30,1085,2786,0.08,0.92
2026-03-31,1127,2878,0.06,0.94
